houseID,title,link,community,years,housetype,square,direction,floor,taxtype,totalPrice,unitPrice,followInfo,decoration,validdate,coor_x,y
101103095299,东城区 永定门外 复式 交通便利 户型方正,https://bj.lianjia.com/ershoufang/101103095299.html,新永外文化用品商城 ,中楼层(共16层)/2006年建板塔结合/永定门,2室2厅,80.34平米,南,中楼层(共16层)/2006年建板塔结合/永定门,房本满五年,545,67837,214人关注/21次带看近地铁房本满五年随时看房545万单价67837元/平米,其他,2018-11-03 15:10:36.975067,"116.397258,39.864921"
101103167888,东城区龙潭湖龙潭北里南北两居室看房方便,https://bj.lianjia.com/ershoufang/101103167888.html,龙潭北里六条 ,中楼层(共5层)/1965年建板楼/左安门,2室1厅,59.64平米,南 北,中楼层(共5层)/1965年建板楼/左安门,房本满五年,535,89705,41人关注/22次带看房本满五年随时看房535万单价89705元/平米,简装,2018-11-03 15:10:36.975232,"116.438572,39.882167"
101103189794,灯市口大街带电梯 西南向两居室 闹中取静,https://bj.lianjia.com/ershoufang/101103189794.html,灯市口大街 ,高楼层(共12层)/1990年建板塔结合/灯市口,2室1厅,75.3平米,西南,高楼层(共12层)/1990年建板塔结合/灯市口,房本满五年,798,105977,41人关注/21次带看近地铁房本满五年随时看房798万单价105977元/平米,简装,2018-11-03 15:10:36.975326,"116.412867,39.918813"
101103101807,二环鼓楼桥 2008年 板楼电梯 南向 近地铁站2号8号线,https://bj.lianjia.com/ershoufang/101103101807.html,府上嘉园 ,低楼层(共11层)/2007年建板塔结合/安定门,2室2厅,84.62平米,南,低楼层(共11层)/2007年建板塔结合/安定门,房本满五年,1100,129993,121人关注/7次带看房本满五年1100万单价129993元/平米,精装,2018-11-03 15:10:36.975416,"116.394318,39.955255"
101102203639,朝阳门内，东单，三层大面积两居室，商品房满五年唯一,https://bj.lianjia.com/ershoufang/101102203639.html,东堂子胡同 ,中楼层(共6层)/1999年建板楼/建国门内,2室1厅,65.47平米,东 西,中楼层(共6层)/1999年建板楼/建国门内,房本满五年,569,86911,147人关注/17次带看近地铁房本满五年569万单价86911元/平米,简装,2018-11-03 15:10:36.975501,"116.419095,39.914101"
101102622345,本家润园三期 西向两居 户型方正 电梯直达 出行便利！,https://bj.lianjia.com/ershoufang/101102622345.html,本家润园三期 ,低楼层(共18层)/2005年建塔楼/东花市,2室1厅,63.75平米,西,低楼层(共18层)/2005年建塔楼/东花市,房本满五年,560,87844,56人关注/17次带看房本满五年560万单价87844元/平米,精装,2018-11-03 15:10:36.975584,"116.437114,39.897430"
101103015763,部长楼 精装 南北两居 板楼 双卧朝南,https://bj.lianjia.com/ershoufang/101103015763.html,东花市北里中区 ,顶层(共6层)/1994年建板楼/东花市,2室1厅,57.75平米,南 北,顶层(共6层)/1994年建板楼/东花市,房本满五年,555,96104,189人关注/17次带看近地铁房本满五年555万单价96104元/平米,精装,2018-11-03 15:10:36.975673,"116.433533,39.898919"
101103407035,培新街乙5号院 东西通透两居 高楼层,https://bj.lianjia.com/ershoufang/101103407035.html,培新街乙5号院 ,高楼层(共16层)/1999年建板塔结合/广渠门,2室1厅,69.03平米,东 西 北,高楼层(共16层)/1999年建板塔结合/广渠门,房本满五年,660,95611,47人关注/19次带看近地铁房本满五年660万单价95611元/平米,简装,2018-11-03 15:10:36.975766,"116.433315,39.890038"
101103633656,商品房  西南两居室  采光好 诚意出售,https://bj.lianjia.com/ershoufang/101103633656.html,朝阳首府 ,中楼层(共15层)/2009年建塔楼/朝阳门内,2室1厅,120.38平米,西南,中楼层(共15层)/2009年建塔楼/朝阳门内,房本满五年,1180,98023,8人关注/0次带看近地铁房本满五年1180万单价98023元/平米,精装,2018-11-03 15:10:36.976026,"116.430803,39.923853"
101103547586,杨家园西里 3室1厅 449万,https://bj.lianjia.com/ershoufang/101103547586.html,杨家园西里 ,低楼层(共6层)/1980年建板楼/永定门,3室1厅,62.93平米,南 北,低楼层(共6层)/1980年建板楼/永定门,房本满五年,449,71350,62人关注/41次带看近地铁房本满五年随时看房449万单价71350元/平米,简装,2018-11-03 15:10:36.976121,"116.408534,39.870162"
101102303096,望陶园小区 东南两居室 房本满五年家庭名下无其他房产,https://bj.lianjia.com/ershoufang/101102303096.html,望陶园小区 ,顶层(共18层)/1999年建塔楼/永定门,2室1厅,104.97平米,东南,顶层(共18层)/1999年建塔楼/永定门,房本满五年,650,61923,285人关注/7次带看近地铁房本满五年随时看房650万单价61923元/平米,简装,2018-11-03 15:10:36.976226,"116.394165,39.864557"
101103081399,中海小区中间位置 不临街 精装婚房小两居 随时签约,https://bj.lianjia.com/ershoufang/101103081399.html,中海紫御公馆 ,高楼层(共22层)/2010年建板塔结合/陶然亭,2室1厅,61.49平米,西北,高楼层(共22层)/2010年建板塔结合/陶然亭,房本满五年,608,98878,140人关注/8次带看房本满两年608万单价98878元/平米,精装,2018-11-03 15:10:36.976321,"116.390496,39.870139"
101103085809,东城 望陶园 优质三居室 带租赁车位 看房方便,https://bj.lianjia.com/ershoufang/101103085809.html,望陶园小区 ,高楼层(共18层)/1999年建塔楼/永定门,3室1厅,116.15平米,东北,高楼层(共18层)/1999年建塔楼/永定门,房本满五年,700,60267,100人关注/5次带看近地铁房本满五年700万单价60267元/平米,简装,2018-11-03 15:10:36.976424,"116.394165,39.864557"
101103181500,崇文门新景家园南北两居室高楼层正对小区花园，税费少,https://bj.lianjia.com/ershoufang/101103181500.html,新景家园东区 ,中楼层(共12层)/2004年建板楼/崇文门,2室1厅,82.41平米,南 北,中楼层(共12层)/2004年建板楼/崇文门,房本满五年,795,96469,116人关注/13次带看近地铁房本满五年795万单价96469元/平米,精装,2018-11-03 15:10:36.976512,"116.423477,39.896383"
101103270288,三面采光 不临街 精装修 税费少,https://bj.lianjia.com/ershoufang/101103270288.html,东花市北里中区 ,高楼层(共6层)/1991年建板楼/东花市,3室2厅,124.65平米,东 南 北,高楼层(共6层)/1991年建板楼/东花市,房本满五年,1120,89852,32人关注/22次带看近地铁房本满五年随时看房1120万单价89852元/平米,精装,2018-11-03 15:10:36.976602,"116.433533,39.898919"
101102423732,东北二环内 民安小区 四居室 无遮挡 满五年 带电梯,https://bj.lianjia.com/ershoufang/101102423732.html,民安小区东直门内北小街 ,高楼层(共16层)/2003年建板楼/东直门,4室2厅,142.18平米,东,高楼层(共16层)/2003年建板楼/东直门,房本满五年,1200,84401,156人关注/6次带看房本满五年1200万单价84401元/平米,简装,2018-11-03 15:10:36.976696,"116.430008,39.942799"
101102891990,东城 和平里七区 低楼层 南北带客厅两居室 无浪费空间,https://bj.lianjia.com/ershoufang/101102891990.html,和平里七区 ,底层(共6层)/1989年建板楼/和平里,2室1厅,55.14平米,南 北,底层(共6层)/1989年建板楼/和平里,房本满五年,578,104825,107人关注/37次带看近地铁房本满五年578万单价104825元/平米,简装,2018-11-03 15:10:36.976784,"116.418896,39.959627"
101101984619,豆瓣胡同3号楼全明格局南北通透大一居高楼层采光好,https://bj.lianjia.com/ershoufang/101101984619.html,豆瓣胡同 ,中楼层(共10层)/2003年建板楼/朝阳门内,1室1厅,60.31平米,南 北,中楼层(共10层)/2003年建板楼/朝阳门内,房本满五年,730,121042,123人关注/21次带看近地铁房本满五年随时看房730万单价121042元/平米,精装,2018-11-03 15:10:36.976896,"116.431679,39.926463"
101102965954,本家润园三期 朝西三居室 电梯直达 精装修 生活便利,https://bj.lianjia.com/ershoufang/101102965954.html,本家润园三期 ,低楼层(共18层)/2005年建塔楼/东花市,3室2厅,135.21平米,西,低楼层(共18层)/2005年建塔楼/东花市,房本满五年,1118,82687,62人关注/3次带看房本满五年1118万单价82687元/平米,精装,2018-11-03 15:10:36.976991,"116.437114,39.897430"
101102903289,东直门 南北通透 带电梯 满五年 精装修,https://bj.lianjia.com/ershoufang/101102903289.html,春秀路 ,中楼层(共9层)/1998年建板塔结合/工体,2室1厅,68.44平米,南 北,中楼层(共9层)/1998年建板塔结合/工体,房本满五年,638,93221,239人关注/23次带看近地铁房本满五年638万单价93221元/平米,其他,2018-11-03 15:10:36.977081,"116.444267,39.938480"
101103169460,满五年已购公房  精装修   可改三居,https://bj.lianjia.com/ershoufang/101103169460.html,夕照寺中街 ,中楼层(共7层)/1991年建板楼/广渠门,3室1厅,84.52平米,南 北,中楼层(共7层)/1991年建板楼/广渠门,房本满五年,740,87554,120人关注/21次带看近地铁房本满五年740万单价87554元/平米,精装,2018-11-03 15:10:36.977169,"116.441775,39.889448"
101102452549,【聚焦房源】接受换房时效 随时看房  业主急售 精装修,https://bj.lianjia.com/ershoufang/101102452549.html,北新桥头条 ,顶层(共6层)/1984年建板楼/东直门,3室1厅,63.37平米,东 西 北,顶层(共6层)/1984年建板楼/东直门,房本满五年,599,94525,120人关注/4次带看房本满两年随时看房599万单价94525元/平米,简装,2018-11-03 15:10:36.977260,"116.419038,39.941820"
101102482855,满五年 汇豪阁70年产权 西南方正三居,https://bj.lianjia.com/ershoufang/101102482855.html,恒基中心 ,中楼层(共23层)/1997年建塔楼/建国门外,3室2厅,168.41平米,西南,中楼层(共23层)/1997年建塔楼/建国门外,房本满五年,1280,76005,53人关注/15次带看近地铁房本满五年随时看房1280万单价76005元/平米,其他,2018-11-03 15:10:36.977359,"116.428535,39.906526"
101102788758,新景家园东区 商品南北两居室 临崇文门地铁,https://bj.lianjia.com/ershoufang/101102788758.html,新景家园东区 ,低楼层(共15层)/2008年建板塔结合/崇文门,2室1厅,107.8平米,南 北,低楼层(共15层)/2008年建板塔结合/崇文门,房本满五年,1100,102041,106人关注/10次带看近地铁房本满五年随时看房1100万单价102041元/平米,简装,2018-11-03 15:10:36.977529,"116.423477,39.896383"
101102826892,东城区 商品房小区 双阳台落地飘窗,https://bj.lianjia.com/ershoufang/101102826892.html,悠胜美苑 ,5层/2006年建板楼/永定门,2室1厅,97.73平米,东,5层/2006年建板楼/永定门,房本满五年,635,64975,77人关注/10次带看近地铁房本满五年随时看房635万单价64975元/平米,其他,2018-11-03 15:10:36.977670,"116.393269,39.863207"
101102991317,东直门内北小街8号院 2室1厅 870万,https://bj.lianjia.com/ershoufang/101102991317.html,东直门内北小街8号院 ,中楼层(共16层)/2003年建塔楼/东直门,2室1厅,84.45平米,东,中楼层(共16层)/2003年建塔楼/东直门,房本满五年,870,103020,27人关注/10次带看近地铁房本满五年随时看房870万单价103020元/平米,其他,2018-11-03 15:10:36.977935,"116.426272,39.947741"
101103107350,东花市北里中区 2室2厅 898万,https://bj.lianjia.com/ershoufang/101103107350.html,东花市北里中区 ,高楼层(共6层)/1995年建板楼/东花市,2室2厅,94.55平米,南 北,高楼层(共6层)/1995年建板楼/东花市,房本满五年,898,94977,2人关注/19次带看近地铁房本满五年随时看房898万单价94977元/平米,其他,2018-11-03 15:10:36.978024,"116.433533,39.898919"
101103204802,东城房本 安定路小区 南北三居室,https://bj.lianjia.com/ershoufang/101103204802.html,安定路 ,高楼层(共20层)/1995年建塔楼/安贞,3室1厅,88.09平米,南 西 北,高楼层(共20层)/1995年建塔楼/安贞,房本满五年,800,90817,62人关注/13次带看房本满五年随时看房800万单价90817元/平米,简装,2018-11-03 15:10:36.978117,"116.712315,40.195736"
101103151270,和平里一区 2室1厅 588万,https://bj.lianjia.com/ershoufang/101103151270.html,和平里一区 ,中楼层(共11层)/1990年建板塔结合/和平里,2室1厅,61.84平米,南 北,中楼层(共11层)/1990年建板塔结合/和平里,房本满五年,588,95085,127人关注/7次带看近地铁房本满五年588万单价95085元/平米,简装,2018-11-03 15:10:36.978210,"116.421552,39.958789"
101102437547,一梯一户 南向大四居 视野采光很棒 欢迎实地看房感受,https://bj.lianjia.com/ershoufang/101102437547.html,新景家园东区 ,顶层(共12层)/2004年建板塔结合/崇文门,4室2厅,144.99平米,南,顶层(共12层)/2004年建板塔结合/崇文门,房本满五年,1390,95869,131人关注/2次带看近地铁房本满五年1390万单价95869元/平米,精装,2018-11-03 15:10:36.978311,"116.423477,39.896383"
101102625878,天天家园 西北两居室 满五年 不临街 精装修,https://bj.lianjia.com/ershoufang/101102625878.html,天天家园 ,中楼层(共11层)/2002年建板塔结合/永定门,2室1厅,112.12平米,西北,中楼层(共11层)/2002年建板塔结合/永定门,房本满五年,725,64663,54人关注/4次带看近地铁房本满五年725万单价64663元/平米,简装,2018-11-03 15:10:38.660877,"116.300183,40.144352"
101102644852,东城区 建予园 全南向精装大两居 南中轴西侧 交通便利,https://bj.lianjia.com/ershoufang/101102644852.html,建予园 ,顶层(共16层)/2001年建塔楼/永定门,2室1厅,105.69平米,南,顶层(共16层)/2001年建塔楼/永定门,房本满五年,675,63867,192人关注/1次带看近地铁房本满五年675万单价63867元/平米,精装,2018-11-03 15:10:38.661033,"116.395476,39.863596"
101102855482,房本满5年家庭名下没有其他房产，户型方正,https://bj.lianjia.com/ershoufang/101102855482.html,悠胜美苑 ,顶层(共20层)/2003年建板塔结合/永定门,1室1厅,58.7平米,东,顶层(共20层)/2003年建板塔结合/永定门,房本满五年,399,67973,90人关注/1次带看近地铁房本满五年399万单价67973元/平米,精装,2018-11-03 15:10:38.661139,"116.393269,39.863207"
101103094908,新景家园2010年商品房三居，满五年唯一，业主诚意出售,https://bj.lianjia.com/ershoufang/101103094908.html,新景家园东区 ,低楼层(共15层)/2008年建板塔结合/崇文门,3室2厅,141.55平米,南 北,低楼层(共15层)/2008年建板塔结合/崇文门,房本满五年,1468,103709,1116人关注/1次带看近地铁房本满五年1468万单价103709元/平米,精装,2018-11-03 15:10:38.661225,"116.423477,39.896383"
101103347250,中海紫御公馆全南两居 户型方正 满五年唯一 精装修,https://bj.lianjia.com/ershoufang/101103347250.html,中海紫御公馆 ,低楼层(共19层)/2010年建板塔结合/陶然亭,2室2厅,90.15平米,南,低楼层(共19层)/2010年建板塔结合/陶然亭,房本满五年,925,102607,45人关注/12次带看房本满五年925万单价102607元/平米,精装,2018-11-03 15:10:38.661319,"116.390496,39.870139"
101103491638,天坛公园 南北通透 中楼层两居室 看房随时,https://bj.lianjia.com/ershoufang/101103491638.html,金鱼池东区 ,中楼层(共6层)/2002年建板塔结合/天坛,2室1厅,70.42平米,南 北,中楼层(共6层)/2002年建板塔结合/天坛,房本满五年,600,85204,39人关注/3次带看近地铁房本满五年600万单价85204元/平米,简装,2018-11-03 15:10:38.661415,"116.410568,39.889857"
101103508641,幸福家园 高楼层四居 双卧客厅朝南  无遮挡 看房方便,https://bj.lianjia.com/ershoufang/101103508641.html,幸福家园二期 ,高楼层(共18层)/2003年建板楼/广渠门,4室1厅,187.09平米,南 西 北,高楼层(共18层)/2003年建板楼/广渠门,房本满五年,1850,98883,10人关注/6次带看近地铁房本满五年1850万单价98883元/平米,简装,2018-11-03 15:10:38.661677,"116.431316,39.892943"
